Front,Back
町[ちょう] 村[そん],町と村。特に、地方公共団体としての町と村。
担[たん]任,"一定の任務を担当すること。
学校で、学級や教科を受け持つこと。また、その人。"
「月謝小遣其他は宗助の方で具合しなければ義理が悪い」,
「新しいクラスを担任する」,
器[うつわ],"物を入れるもの。入れ物。容器。
人物や能力などの大きさ。器量。
道具。器械。"
「人の上に立つ器ではない」,
「器に盛る」,
体育館,屋内で運動競技を行うために設けられた建物。
取[しゅ] 材[ざい],芸術作品や報道記事の題材・材料を、ある物事や事件などから取り集めること。
「神話に取材した作品」,
「師走の街を取材する」,
具[ぐ] 合[あい],"活動や機能からみた物事の状態。
健康の状態。
物事の運び方。
物事を行うにあたっての状況。都合。
体面。体裁。"
「ここまできて断るのは具合が悪い」,
「話の具合でどうなるかわからない」,
「午前中は具合が悪い」,
「うまい具合に電車が来た」,
「具合が悪いので休む」,
「エンジンの具合を調べる」,
「雨戸の滑り具合」,
「風は吹くし波は高いしといった具合であった」,
ただ,"そのことだけをするさま。それよりほかにないと限定するさま。ひたすら。もっぱら。
数量・程度などがごく少ないさま。わずかに。たった。
そのことだけが行われるさま。ひたすら。
前述の事柄に対して、条件をつけたりその一部を保留したりするときに用いる。ただし。"
「ただ泣きに泣く」,
「正解はただの三人だった」,
「ただ一度しか休まない」,
「ただ時間ばかりかかる」,
「ただ無事だけを祈る」,
水族館,水生動物を飼育・展示し、その行動・習性などを人々に観覧させるとともに、それを研究する施設。
戒[いまし]める,"まちがいをしないように前もって注意する。教えさとす。
してはいけないと命ずる。禁止する。
同じ過ちを犯さないようにしかる。
警戒する。
自由がきかないようにしばる。
忌み嫌う。"
「人の戒むる五月 (さつき) は去 (い) ぬ」,
「盗人を荒縄で戒める」,
「嘘をついた子供を戒める」,
「肉食を戒める」,
「気を緩めないよう戒める」,
勾[こう] 配[ばい],"水平面に対する傾きの度合い。傾斜。また、斜面。
数学で、直線の方向を示す数。直線がx軸の正の方向となす角の正接で表される。傾き。方向係数。
物理学で、速度・圧力など物理量の大きさが位置によって変化するときの変化率。ベクトル量で表される。勾配ベクトル。グラジエント。"
「勾配の急な坂道」,
「勾配を登る」,
